season,flip_rate_mean,flip_rate_std
1,0.3,0.21688023662159037
2,0.24285714285714285,0.1614138214921742
3,0.35714285714285715,0.17975796274454164
4,0.3,0.14288690166235207
5,0.20740740740740737,0.11379475182027567
6,0.2125,0.15189771777965153
7,0.22916666666666666,0.14463795798091483
8,0.24814814814814812,0.13663604996812384
9,0.1555555555555555,0.11331154474650632
10,0.22083333333333333,0.11031835245728105
11,0.17037037037037037,0.09398946326258904
12,0.1875,0.08984941105353261
13,0.22592592592592592,0.10534416780242882
14,0.225,0.12247448713915891
15,0.4380952380952381,0.12196427118919712
16,0.09166666666666666,0.08498365855987976
17,0.31481481481481477,0.12199754882963411
18,0.23333333333333336,0.17874594646784245
19,0.2166666666666667,0.14624940645653536
20,0.42083333333333334,0.15969806580614
21,0.35714285714285715,0.10268504120403725
22,0.37142857142857155,0.12009066869446182
23,0.28888888888888886,0.12035612451312533
24,0.32083333333333336,0.15028907330726193
25,0.2625,0.14559504341380125
26,0.23333333333333328,0.24570382652773315
27,0.33809523809523806,0.1585792933842544
28,0.4380952380952381,0.1878388849839621
29,0.3407407407407407,0.12149051456930908
30,0.5,0.18540496217739158
31,0.3777777777777777,0.15608375930152207
32,0.3333333333333333,0.16972502573910522
33,0.38333333333333325,0.19317042945237456
34,0.45416666666666666,0.15640270315936217
