season,week,sigma_j,sigma_f,sigma_f_over_sigma_j
1,2,0.033542136809603086,0.07705869275721738,2.2973698185845914
1,3,0.041936058058288435,0.05892038204107863,1.4050052572700817
1,4,0.027712062573873826,0.10952316560580777,3.9521838301946968
2,1,0.020157173340547226,0.027675137853760173,1.3729672006188567
2,2,0.019969111950679363,0.02885830027131455,1.4451469020049623
2,3,0.02327070651936458,0.043283850286730666,1.860014445659923
2,4,0.039721306756760937,0.03280881281367954,0.8259751627656402
2,5,0.0176945028056086,0.05341303669706833,3.018623200881241
2,6,0.023585544573470858,0.06005419576490398,2.546228923306407
2,7,0.028583097523751468,0.11135237498610813,3.8957420515246306
3,1,0.018770213231766114,0.024837318569692967,1.3232304962662371
3,2,0.011986129349643668,0.019892089438422137,1.6595924220535383
3,3,0.012473376316287973,0.023142703393534043,1.8553680099680676
3,4,0.01445141810891363,0.027235269234627466,1.8846087649923269
3,5,0.0074876345544634135,0.021563020740806096,2.8798174622387624
3,7,0.015360326928390905,0.04702401341720163,3.0613940469122363
3,8,0.006880733944954117,0.07626245422418652,11.083476680581795
4,2,0.010455660707684875,0.025708350786361883,2.458797344816893
4,3,0.011198674876819912,0.01996146758526816,1.7824847854621009
4,4,0.023067933243644465,0.02275531158711677,0.9864477821560443
4,5,0.03086017185000061,0.02550843439598536,0.8265810871038572
4,6,0.019309454274077403,0.020830727445165592,1.0787838511381687
4,7,0.02469957527908374,0.0351921690157797,1.4248086705191796
4,8,0.028216623441634697,0.045148491459220064,1.6000671218726248
4,9,0.003498549356914982,0.07422956164657536,21.21724008262411
5,1,0.010943279527033854,0.02229096748759372,2.0369549578375454
5,2,0.013558624407409356,0.017396999836817632,1.283094753130762
5,3,0.013024587796044672,0.019393781551273588,1.4890130770328964
5,4,0.00944907347679601,0.023008522608546616,2.4350030365462185
5,5,0.014087727067842842,0.015161098146274237,1.0761919274317508
5,6,0.014461005681181426,0.03118285608193803,2.156340766985334
5,7,0.004137802720307065,0.03991095326875475,9.645446138087745
5,8,0.012402666486920219,0.0555161102809947,4.476143121282965
5,9,0.007086805107596993,0.07712348960662906,10.882688099317612
6,2,0.015681974434946497,0.03227320065119451,2.057980695292762
6,3,0.010885678636834083,0.01986925616981839,1.82526573057066
6,4,0.014054567378526128,0.01521837656077588,1.0828064749988624
6,5,0.013498731178900969,0.02477371874003585,1.8352627674190678
6,6,0.01534847587762993,0.03264422643497833,2.1268708825060982
6,7,0.009295408813168328,0.043408415557198335,4.669876971489825
6,8,0.0090509707667375,0.05775532783193331,6.381119696484415
6,9,0.008503766788122593,0.0773378823702484,9.094544135225815
7,1,0.012085368067661266,0.02891533209021566,2.3925901079991925
7,2,0.01329123358404238,0.017375413427684408,1.3072837308754806
7,4,0.01209125453441408,0.022716012693367704,1.8787142912849515
7,5,0.015793185890711433,0.015617430139126575,0.9888714188004191
7,6,0.023248601011234892,0.02363485004443481,1.0166138613249571
7,7,0.01953932872972119,0.04442234608433953,2.273483736253891
7,8,0.011633252528777513,0.057225321376533106,4.919116234687864
7,9,0.020323550545234062,0.07106336196048982,3.496601728242529
8,2,0.013689203045052653,0.020125952781414276,1.470206316260894
8,3,0.020946049474425684,0.015244801113221972,0.7278127138883771
8,4,0.023308928711477942,0.02376599370041688,1.0196090088307606
8,5,0.015552315827194785,0.022994973750040313,1.4785562488276693
8,6,0.021962546556946492,0.013254309612937186,0.6034960280480319
8,7,0.01377545429731887,0.028009034317905177,2.0332566689547655
8,8,0.010303045684821533,0.044105913210950365,4.280861655881744
8,9,0.015277961089416585,0.05886476854333806,3.8529204387171214
8,10,0.019739288202957287,0.06886867198121947,3.4889136463847645
9,1,0.012705456123508036,0.021397292725130277,1.6841026813307656
9,2,0.010122772913508096,0.012394943269356726,1.2244612593073767
9,3,0.014410311238633957,0.013674569231989703,0.9489433646185425
9,4,0.018055018543497996,0.017258621010327647,0.9558905170187627
9,5,0.00974365795252198,0.019996763085238647,2.052285002478235
9,6,0.018529616959679147,0.031805353392490514,1.7164603813289643
9,7,0.010814269642316986,0.027130016521256156,2.50872388229479
9,8,0.012909568339914315,0.0508017440649576,3.935200831455127
9,9,0.014823276913000514,0.07696339697543743,5.192063632565477
10,2,0.01938188330505549,0.02582199574197987,1.332274853561035
10,3,0.017768166302336387,0.019119566961883796,1.0760574071939943
10,4,0.01862149332939181,0.02285883532172821,1.2275511376763895
10,5,0.025515091882961815,0.013835199191001422,0.5422359149033729
10,6,0.018341104609438948,0.02745744041894607,1.4970439896414718
10,7,0.005696755526653085,0.042576867521372956,7.473880057195888
10,8,0.023128440851111143,0.05279515541774175,2.282694097609496
10,9,0.012709209394995648,0.07388230867264638,5.813289117868978
11,1,0.014213260413073376,0.02239381665556235,1.5755580355767274
11,2,0.01423781842852882,0.01689959495993256,1.1869511501895715
11,3,0.011348358555642039,0.019727628710865922,1.7383684710118699
11,4,0.02328781065462951,0.022415490413785977,0.9625417668590448
11,5,0.014984494662961149,0.01597250901025661,1.0659357802527467
11,6,0.01895039876123957,0.033974979787158306,1.7928371964736407
11,7,0.007025737742304932,0.044335942701922273,6.310503512671254
11,8,0.01704390911794147,0.054626554100456005,3.2050484265345403
11,9,0.01118206033682628,0.07991674832087252,7.146871498956219
12,2,0.011039458795121212,0.025520492676975697,2.3117521565689656
12,3,0.012916144823444163,0.019457022580934093,1.506410995455668
12,4,0.01108017183612413,0.02297616359915931,2.073628815417038
12,5,0.010548135015299548,0.015842662757735805,1.501939701639845
12,6,0.011391031820958195,0.02853164604999052,2.5047464091440386
12,7,0.006919750593500677,0.04313954461961805,6.234262931403415
12,8,0.012162606385262995,0.055145095424332526,4.533986686533728
12,9,0.039390443790582166,0.0701083625341893,1.779831750739286
13,1,0.011966541052905441,0.02235174899069216,1.867853784303462
13,2,0.00835462761187085,0.017413150039763462,2.0842520874325525
13,3,0.01051471375052921,0.020234185072588055,1.9243686088524912
13,4,0.013108801707536368,0.023363061214154705,1.7822423235468634
13,5,0.013819554315709127,0.014478873887169898,1.0477091776187963
13,6,0.022242423379208412,0.02771636376032692,1.2461035961681852
13,7,0.009934157677231499,0.043413157924186985,4.3700894766032725
13,8,0.019596258749728993,0.05220576193177098,2.6640677998035196
13,9,0.03048156444501819,0.0701680946089594,2.301984687679882
14,2,0.010344366702022306,0.022316258726467385,2.157334457420636
14,3,0.00616028115617217,0.01754524131466784,2.8481234654507186
14,4,0.00960645033716712,0.019905626913109545,2.0721105314098347
14,5,0.01509436910188784,0.012001281757300473,0.795083363623292
14,6,0.018461758210585853,0.019527292296193367,1.0577157426423527
14,7,0.0076872003340332775,0.03563176114672503,4.635206524926086
14,8,0.006052162123872536,0.05862346473834249,9.686367208688006
14,9,0.004861017342390847,0.08283379367032001,17.040423400254518
15,1,0.006935568709037647,0.020000834461925895,2.883805971940423
15,2,0.007578442269330395,0.015465369315005549,2.040705565257544
15,3,0.00468779306305803,0.024886201037299428,5.3087243192141225
15,4,0.00936320524219393,0.012243903673147755,1.307661570631003
15,6,0.0057479562198082266,0.033366989294377286,5.805017995681696
15,8,0.006899649946499377,0.03160712331123773,4.580974912687273
15,9,0.006962357400260785,0.07281623080359793,10.458559740249832
16,3,0.01531819418740562,0.025060370972819893,1.635987288464076
16,4,0.014003917090498322,0.019701611828959638,1.4068643581392817
16,5,0.01772815736367152,0.0226376064085024,1.2769294599613215
16,6,0.01189482169406638,0.015274537823696654,1.2841333999412714
16,7,0.02494158137299536,0.022736760632616204,0.9116006035300411
16,8,0.01745605302776241,0.03877598101027119,2.221348717754305
16,9,0.010895242195558303,0.053846451690726875,4.942198688587081
16,10,0.0070871332948234155,0.08006544941180296,11.297296957894721
17,2,0.010942512027927932,0.02242917179439464,2.049727862957791
17,3,0.014170842719680422,0.017027109644934993,1.201559426052185
17,4,0.01194174826842608,0.01960359230212858,1.6416015361804581
17,5,0.007883372104270956,0.02301406833789772,2.9193177784199023
17,7,0.0066713264207318755,0.01937213480520241,2.903790578287608
17,8,0.011086059840588794,0.037045152325066596,3.341597723425159
17,9,0.01636794528916193,0.03491700215144633,2.1332550625377946
17,10,0.019462155846773025,0.057341675472636834,2.946316735108486
17,11,0.018820938313973818,0.07132473400935137,3.7896481471593537
18,2,0.027458676560439592,0.03134849477574594,1.1416608046183299
18,5,0.010119308694696467,0.013174974730417283,1.3019639115587305
18,6,0.009506919587556392,0.027228469469907278,2.86406855755324
18,7,0.007063803502652063,0.03471843418982981,4.9149773456743215
18,8,0.007942720954475669,0.04561303368745385,5.742746591361896
18,9,0.006945811079278322,0.05934329223615235,8.543752710636378
18,10,0.013789676984272725,0.0786587377743872,5.704175512167423
19,1,0.012046742484391653,0.019936655604205444,1.6549416267539834
19,2,0.008274493902215208,0.015480775173802815,1.8709029647914026
19,3,0.012166893444262392,0.017355293516567723,1.426435893112227
19,4,0.01717328958004261,0.01975314901185083,1.1502251167304791
19,6,0.01183502960510219,0.01296756294487272,1.0956933254549939
19,7,0.011602897050968885,0.022201524964140903,1.913446690651021
19,8,0.025397935121023743,0.028004091356823545,1.1026129180731112
19,9,0.015998939707300732,0.04323930240999128,2.7026354996675224
19,10,0.015498230820527072,0.0496982351048607,3.206703763828092
19,11,0.004616313050715072,0.07782368020619287,16.858406124371893
20,2,0.009734374735596176,0.02290777488460638,2.353286729433003
20,3,0.014049824713851668,0.0175264767308374,1.2474516293116535
20,4,0.011029814356267643,0.020024528234668867,1.8154909582217962
20,5,0.0192903313648029,0.012225593800768986,0.6337679519116908
20,6,0.005132045070062837,0.0325538066710137,6.3432425527422565
20,7,0.014071986505283242,0.02427301667041434,1.724917563081885
20,8,0.01799125304465071,0.04696269392334956,2.610307009011407
20,9,0.005281249666171018,0.07915607916435921,14.988134280299706
21,2,0.010742401119024086,0.02898872436852354,2.6985330418528513
21,4,0.016541712962663675,0.01929710164106932,1.1665721491253558
21,6,0.01780608619664104,0.022388391711032057,1.2573449023994632
21,7,0.0033461989723414117,0.027316347319255373,8.163396003956544
21,8,0.013971985681107276,0.019463363777043486,1.3930277500471229
21,9,0.012583325580926263,0.040204907547841104,3.1950939590074254
21,11,0.00733957151704898,0.07914210088978266,10.782932042551076
22,2,0.012751038195810587,0.02209818432623138,1.7330498102885332
22,3,0.00831587395039463,0.01734426199442735,2.085681204151041
22,4,0.012496007164886991,0.01977551366858689,1.5825466012979619
22,6,0.010126363615064709,0.022688378912999425,2.2405257973599286
22,7,0.004212092611523346,0.023297876852415026,5.531188176792988
22,8,0.010483378513545012,0.03547404265865614,3.383836862593679
22,9,0.0064624519132374224,0.07344262438262994,11.364513866972544
23,2,0.008372921355187071,0.020151519298475567,2.4067489044300636
23,3,0.008922929559643753,0.015328020467953984,1.7178237669026217
23,4,0.011791230149641767,0.024433890005419016,2.07220872592003
23,6,0.013245653160435591,0.022869970468242122,1.726601941877363
23,7,0.006183762781505906,0.015119104221104986,2.444968339717439
23,8,0.020890978522563095,0.032457311274513324,1.5536520340326867
23,9,0.007378763304787732,0.036386517914145614,4.931248830076459
23,10,0.005108064691841551,0.055218132576684606,10.809990849347967
23,11,0.009929175393829839,0.07634706341657287,7.68916454673731
24,2,0.009747625047383576,0.022420569830425483,2.3001058946603137
24,3,0.01220339077163981,0.01734922125772856,1.4216721878682645
24,4,0.009524033555987745,0.01983360803704576,2.082479856927468
24,5,0.010605715006247742,0.023049553333832188,2.1733144177694648
24,6,0.008402946710048848,0.016011907959869044,1.905511068006757
24,7,0.014853694452812996,0.04016236601612325,2.7038637521264817
24,8,0.02139616584824581,0.048856530814406295,2.2834245705948226
24,9,0.011985015714796985,0.07999844931441727,6.67487229204458
25,2,0.007771481861706145,0.029228198858138453,3.7609556810728653
25,4,0.006907500933235157,0.017520524395469635,2.536449081196696
25,5,0.009139356660441808,0.019986437313257808,2.18685385151515
25,6,0.014451524140982134,0.02250260600282911,1.5571095327596234
25,7,0.009137345142733549,0.03759917019436465,4.114890004375647
25,8,0.013731413161051783,0.02699321736565055,1.9658003913402717
25,9,0.014248432638275068,0.04902322096037311,3.440604465412128
25,10,0.006571405132248026,0.07330807940203601,11.155617090519863
26,1,0.011268723396380222,0.042416275980977206,3.764071092081496
