season,week,celebrity_name,voting_method,fan_share_mean,fan_share_std,fan_share_lb,fan_share_ub,is_eliminated_this_week,fan_share_mean_raw
1,2,Evander Holyfield,rank,0.2921939058509104,0.1322597155018545,0.01633058676556415,0.8337365142731646,0,0.2921939058509104
1,3,Evander Holyfield,rank,0.18204119292655288,0.08245310123126104,0.00016472511365409227,0.47935593978889507,1,0.13483288738754254
1,2,Joey McIntyre,rank,0.1507366306273714,0.12780190345139078,2.352875345901342e-05,0.8282631022117559,0,0.1507366306273714
1,3,Joey McIntyre,rank,0.16697577257414026,0.15313683838361056,5.909606114482846e-08,0.8830767247439398,0,0.17393540483704123
1,4,Joey McIntyre,rank,0.38145160299104186,0.11002533090886914,0.26627495583689387,0.8949685764248657,0,0.4733698160268569
1,2,John O'Hurley,rank,0.14387480495205923,0.12575286823710669,6.263576366799206e-05,0.7634313322263221,0,0.14387480495205923
1,3,John O'Hurley,rank,0.16197228612154346,0.15306406371302533,1.9275213867305257e-06,0.9485322772378997,0,0.16972834947989388
1,4,John O'Hurley,rank,0.2439782386592046,0.06544680544173452,0.05153075333556851,0.4482043324309289,0,0.2791236468896308
1,2,Kelly Monaco,rank,0.22169125416035634,0.13021166698183895,0.007881161071171497,0.8236711762737867,0,0.22169125416035634
1,3,Kelly Monaco,rank,0.31302849316425807,0.158455784280244,0.01173125467678175,0.94591109392176,0,0.3521730241659302
1,4,Kelly Monaco,rank,0.21753380293152513,0.05993808995740118,0.011065333073030653,0.32554251928306044,0,0.17660750711749673
1,2,Rachel Hunter,rank,0.15187342803280252,0.12921119813253173,7.747051301820579e-07,0.8751683573704843,0,0.15187342803280252
1,3,Rachel Hunter,rank,0.1640932623005567,0.1606377013143646,4.549073257769852e-11,0.8936366417212337,0,0.16933033412959422
1,4,Rachel Hunter,rank,0.09885729966637755,0.050450174490585184,2.6703330277016323e-05,0.23553704528036593,1,0.07089902996601506
1,2,Trista Sutter,rank,0.03962997637650016,0.031993117414303655,1.7002708904739477e-05,0.21153817320929744,1,0.03962997637650016
2,1,Drew Lachey,rank,0.0999919370901961,0.0902202381432648,1.3102553479863833e-06,0.6227985850357046,0,0.0999919370901961
2,2,Drew Lachey,rank,0.10488498222385949,0.1269252747269485,1.1112935038320509e-10,0.839396877993088,0,0.1069820015668581
2,3,Drew Lachey,rank,0.10715527290589139,0.1274201543301088,3.1078871955007203e-09,0.8121039680273283,0,0.1081282546267622
